origin,destination,num_nodes,num_edges,avg_degree,density,best_runtime,best_cost
2000,4035,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4040,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
2000,4043,37,104,5.621621621621622,0.15615615615615616,IDDFS,BFS
2000,4051,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
2000,4057,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4063,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4262,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4263,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4264,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4266,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4270,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
2000,4272,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4273,37,104,5.621621621621622,0.15615615615615616,IDDFS,BFS
2000,4321,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4324,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4335,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
2000,4812,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4821,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2200,0970,37,104,5.621621621621622,0.15615615615615616,BFS,BFS
2200,2000,37,104,5.621621621621622,0.15615615615615616,BFS,BFS
2200,2820,37,104,5.621621621621622,0.15615615615615616,DFS,BFS
2200,2825,37,104,5.621621621621622,0.15615615615615616,DFS,BFS
2200,2827,37,104,5.621621621621622,0.15615615615615616,BFS,BFS
2200,2846,37,104,5.621621621621622,0.15615615615615616,BFS,BFS
2200,3001,37,104,5.621621621621622,0.15615615615615616,BFS,BFS
2200,3002,37,104,5.621621621621622,0.15615615615615616,BFS,BFS
2200,3120,37,104,5.621621621621622,0.15615615615615616,BFS,BFS
2200,3122,37,104,5.621621621621622,0.15615615615615616,BFS,BFS
2200,3126,37,104,5.621621621621622,0.15615615615615616,BFS,BFS
2200,3127,37,104,5.621621621621622,0.15615615615615616,DFS,BFS
